dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_BIG,210,45,341,0.217,0.2358,-0.12,5446.767176649306,1958.1304361979167
RCC_BIG,211,17,214,0.3598,0.2358,0.609,5467.963752297794,3080.3511029411766
RCC_BIG,212,223,1044,0.1983,0.2358,-0.25,5630.273457206418,2526.881077240401
RCC_BIG,213,26,376,0.2154,0.2358,-0.131,5618.985013521635,3106.62939453125
RCC_BIG,214,23,440,0.2682,0.2358,0.185,5654.223993716033,3253.3006644870925
RCC_BIG,215,22,313,0.1789,0.2358,-0.398,5640.543545809659,2934.8792724609375
RCC_BIG,216,25,365,0.1589,0.2358,-0.57,5617.34400390625,3447.193984375
RCC_BIG,217,110,743,0.1655,0.2358,-0.511,5498.547842684659,3663.491730291193
RCC_BIG,218,144,1191,0.1856,0.2358,-0.346,5729.620507134332,4790.0645751953125
RCC_BIG,219,87,500,0.236,0.2358,0.001,5759.707772090517,4495.036716505028
RCC_BIG,220,14,283,0.1908,0.2358,-0.306,5724.448172433035,3877.7374267578125
RCC_BIG,221,13,237,0.1266,0.2358,-0.898,5755.8054762620195,1964.5899752103364
RCC_BIG,222,16,152,0.2105,0.2358,-0.164,5829.6683349609375,1827.783836364746
RCC_BIG,223,14,246,0.3049,0.2358,0.37,6100.181780133928,2015.6314435686384
RCC_BIG,224,8,172,0.2326,0.2358,-0.02,5407.285827636719,1485.8096313476562
RCC_BIG,225,10,84,0.3095,0.2358,0.392,5277.51728515625,1793.5085815429688
RCC_BIG,226,212,1550,0.1755,0.2358,-0.426,5195.778449292453,1445.3989332666938
RCC_BIG,227,14,153,0.2026,0.2358,-0.219,5386.27702985491,1822.3574916294642
RCC_BIG,228,14,160,0.1562,0.2358,-0.594,5025.258370535715,1063.167515345982
RCC_BIG,229,11,131,0.1298,0.2358,-0.862,2653.8423295454545,159.3196591463956
RCC_BIG,230,10,225,0.2178,0.2358,-0.115,1190.3724243164063,784.6384338378906
RCC_BIG,231,12,281,0.2242,0.2358,-0.073,5496.8611246744795,3980.5262858072915
RCC_BIG,232,11,252,0.2698,0.2358,0.194,6171.466619318182,4876.557528409091
RCC_BIG,233,14,187,0.2513,0.2358,0.092,5710.654750279018,5404.941929408482
RCC_BIG,234,11,154,0.2273,0.2358,-0.053,7776.422762784091,4428.224609375
RCC_BIG,235,10,153,0.2745,0.2358,0.219,7641.66904296875,4550.82060546875
RCC_BIG,236,11,142,0.2113,0.2358,-0.159,7639.039417613636,94.22544028542258
RCC_BIG,237,11,238,0.2479,0.2358,0.072,7642.359952059659,1417.8859974254262
RCC_BIG,238,10,168,0.2083,0.2358,-0.179,7440.1041015625,2114.26865234375
RCC_BIG,239,14,192,0.2344,0.2358,-0.009,8970.762276785714,5296.850167410715
RCC_BIG,240,10,117,0.2564,0.2358,0.121,9389.34873046875,2262.30869140625
RCC_BIG,241,11,186,0.3011,0.2358,0.352,11186.328391335228,2478.107111150568
RCC_preview,0,289,2045,0.0729,0.1987,-1.447,1658.7296763489403,910.9223343476292
RCC_preview,1,11,110,0.0818,0.1987,-1.28,3247.992919921875,1709.810546875
RCC_preview,2,11,85,0.2235,0.1987,0.17,2786.927001953125,1694.7175847833807
RCC_preview,3,37,158,0.1962,0.1987,-0.018,2574.0560401710304,1695.3163468644425
RCC_preview,4,33,185,0.1838,0.1987,-0.112,1228.9491484670928,402.3189512310606
RCC_preview,5,21,58,0.1379,0.1987,-0.526,1111.399437313988,93.06278301420666
